collection,is_homepage,title,slug,permalink,schema_type,excerpt,order,keywords,media_hero,media_alt,references,album,body_md
personal-micro-dictionary,False,GENTRIFICATION:,gentrification-customise-driving-avatar,/personal-micro-dictionary/gentrification-customise-driving-avatar/,CreativeWork,,,"gentrification, customise, driving, avatar",,,,,"GENTRIFICATION:

""Customise your driving avatar"""
personal-micro-dictionary,False,STATIC BICYCLE:,static-bicycle-ride-nowhere,/personal-micro-dictionary/static-bicycle-ride-nowhere/,ShortStory,,,"static, bicycle, ride, nowhere",,,,,"STATIC BICYCLE:

A ride
to nowhere."
personal-micro-dictionary,False,VERTEBRAE:,vertebrae-column-rows-data,/personal-micro-dictionary/vertebrae-column-rows-data/,CreativeWork,,,"vertebrae, column, rows, data",,,,,"VERTEBRAE:

Column,
Rows,
Data."
personal-micro-dictionary,False,INTELLIGENCE:,intelligence-inversely-proportionate-amount-trash,/personal-micro-dictionary/intelligence-inversely-proportionate-amount-trash/,Statement,,,"intelligence, inversely, proportionate, amount, trash, leftover",,,,,"INTELLIGENCE:

Inversely proportionate
to the amount of trash
you leftover."
personal-micro-dictionary,False,CANIS MAJOR:,canis-major-collective-unconsciousness-headless,/personal-micro-dictionary/canis-major-collective-unconsciousness-headless/,CreativeWork,,,"canis, major, collective, unconsciousness, headless, robot, black, mirror",,,,,"CANIS MAJOR:

Collective Unconsciousness,
the headless robot dog
from Black Mirror."
personal-micro-dictionary,False,SPIRIT:,spirit-when-animal-stops-hallucinates,/personal-micro-dictionary/spirit-when-animal-stops-hallucinates/,ShortStory,,,"spirit, when, animal, stops, hallucinates",,,,,"SPIRIT:

When the animal stops,
hallucinates."
personal-micro-dictionary,False,ID BADGE:,badge-heaviest-object-carry,/personal-micro-dictionary/badge-heaviest-object-carry/,ShortStory,,,"badge, heaviest, object, carry",,,,,"ID BADGE:

The heaviest object
you can carry."
written-photography,False,IN THE RIVER,river-stones-rounded-time-still,/written-photography/river-stones-rounded-time-still/,ShortStory,,,"river, stones, rounded, time, still, sharp, went, through, breakup",,,,,"IN THE RIVER

All stones are rounded by time.
those still sharp,
just went through a breakup."
written-photography,False,GRAVE MARKERS,grave-markers-only-full-names,/written-photography/grave-markers-only-full-names/,CreativeWork,,,"grave, markers, only, full, names, dates, have, least, more, sentence",,,,,"GRAVE MARKERS

With only full names
and two dates,
should have at least
one more sentence to tell. "
written-photography,False,CINDERELLA,cinderella-goes-sleep-midnight-because,/written-photography/cinderella-goes-sleep-midnight-because/,CreativeWork,,,"cinderella, goes, sleep, midnight, because, another, representation, venus",,,,,"CINDERELLA

Goes to sleep
before midnight,
because she is another 
representation 
of Venus "
written-photography,False,PROPORTIONAL,proportional-followers-shiny-things-directly,/written-photography/proportional-followers-shiny-things-directly/,CreativeWork,,,"proportional, followers, shiny, things, directly, devotees, darkness",,,,,"PROPORTIONAL

Followers of shiny things
are directly proportional
devotees of darkness. "
written-photography,False,WEIGHT,weight-scanning-whole-store-looking,/written-photography/weight-scanning-whole-store-looking/,ShortStory,,,"weight, scanning, whole, store, looking, unique, craftsmanship, price, jewelry, entirely",,,,,"WEIGHT

After scanning the whole store 
looking for unique craftsmanship,

the price of the jewelry 
was entirely determined 
by the weight of the gold."
written-photography,False,SLEEPING BAG,sleeping-bag-anaconda-almost-entirely,/written-photography/sleeping-bag-anaconda-almost-entirely/,ShortStory,,,"sleeping, anaconda, almost, entirely, devored",,,,,"SLEEPING BAG

This anaconda,
almost entirely,
has devored me."
written-photography,False,THE SLAVES,slaves-finally-free-when-archaeologist,/written-photography/slaves-finally-free-when-archaeologist/,ShortStory,,,"slaves, finally, free, when, archaeologist, unearthed, clay, pronounced, names",,,,,"THE SLAVES

Were finally free
when the archaeologist
unearthed that clay
and pronounced their names."
written-photography,False,INFINITY,infinity-perspective,/written-photography/infinity-perspective/,ShortStory,,,"infinity, perspective",,,,,"INFINITY

From this perspective
infinity
is just a dot."
written-photography,False,EVERY NUMBER,every-number-invisibly-multiplied-divided,/written-photography/every-number-invisibly-multiplied-divided/,CreativeWork,,,"every, number, invisibly, multiplied, divided, powered",,,,,"EVERY NUMBER

Every number is 
invisibly
multiplied, divided and powered
by one."
written-photography,False,THE BACTERIA,bacteria-inside-guts-configure-smart,/written-photography/bacteria-inside-guts-configure-smart/,ShortStory,,,"bacteria, inside, guts, configure, smart, organism, shell, human-shaped, exoskeleton",,,,,"THE BACTERIA

Inside our guts
configure a smart organism,
we are just its shell.

Human-Shaped Exoskeleton"
written-photography,False,LOOK AROUND,look-around-metal-glass-plastic,/written-photography/look-around-metal-glass-plastic/,CreativeWork,,,"look, around, metal, glass, plastic, concrete, together, colored, coatings, have",,,,,"LOOK AROUND

All metal, glass, plastic and concrete,
together with their 
colored coatings,
have been cooked for you.

No wondering why
human-made
climate change."
written-photography,False,ORCHESTRA,orchestra-groups-women-have-started,/written-photography/orchestra-groups-women-have-started/,ShortStory,,,"orchestra, groups, women, have, started, transform, every, single, monument, hole",,,,,"ORCHESTRA

Groups of women 
have started to transform
every single monument
into a hole in the ground,
flattened and circular,
called 'Dancing Space'."
written-photography,False,A CHINESE EMPEROR,chinese-emperor-died-precisely-because,/written-photography/chinese-emperor-died-precisely-because/,ShortStory,,,"chinese, emperor, died, precisely, because, belief, drinking, mercury, elixir, towards",,,,,"A CHINESE EMPEROR

died
precisely because of
his belief in drinking mercury
as an elixir towards immortality."
written-photography,False,EVERYWHERE I LOOK,everywhere-look-masque-death,/written-photography/everywhere-look-masque-death/,CreativeWork,,,"everywhere, look, masque, death",,,,,"EVERYWHERE I LOOK

""The Masque of the Red Death"""
written-photography,False,A SMALL TIE,small-tie-perfect-coat-sternum,/written-photography/small-tie-perfect-coat-sternum/,CreativeWork,,,"small, perfect, coat, sternum",,,,,"A SMALL TIE

Is a perfect coat
for your sternum. "
written-photography,False,SANS-SOUCI,sans-souci-care-free-cursed-palace-haiti,/written-photography/sans-souci-care-free-cursed-palace-haiti/,CreativeWork,,,"sans-souci, care-free, cursed, palace, haiti",,,,,"SANS-SOUCI

""Care-free""
is a cursed palace
in Haiti."
written-photography,False,FROM RED TO GREEN,red-green-there-millions-steps,/written-photography/red-green-there-millions-steps/,CreativeWork,,,"green, there, millions, steps",,,,,"FROM RED TO GREEN

There are 
millions of steps 
between."
